asset_id,source_system,asset_type,technical_name,source_ref,field_count,nullable_field_count,non_nullable_field_count,numeric_field_count,date_field_count,text_field_count,large_text_field_count,avg_data_length,max_data_length,row_count,size_bytes,size_mb,has_profile_data,label_raw,label_normalized
1005193,oracle,oracle_table,SYSADM.PS_AM_AST_3_TAO,PS_AM_AST_3_TAO,4,0,4,3,0,1,0,19.5,28.0,0.0,0.0,0.0,VRAI,Finance,Finance
1005194,oracle,oracle_table,SYSADM.PS_AM_AST_3_TAO1,PS_AM_AST_3_TAO1,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005195,oracle,oracle_table,SYSADM.PS_AM_AST_3_TAO2,PS_AM_AST_3_TAO2,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005196,oracle,oracle_table,SYSADM.PS_AM_AST_3_TAO3,PS_AM_AST_3_TAO3,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005197,oracle,oracle_table,SYSADM.PS_AM_AST_3_TAO4,PS_AM_AST_3_TAO4,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005198,oracle,oracle_table,SYSADM.PS_AM_AST_3_TAO5,PS_AM_AST_3_TAO5,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005199,oracle,oracle_table,SYSADM.PS_AM_AST_3_TAO6,PS_AM_AST_3_TAO6,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005200,oracle,oracle_table,SYSADM.PS_AM_AST_3_TAO7,PS_AM_AST_3_TAO7,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005201,oracle,oracle_table,SYSADM.PS_AM_AST_3_TAO8,PS_AM_AST_3_TAO8,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005202,oracle,oracle_table,SYSADM.PS_AM_AST_COMP_HIS,PS_AM_AST_COMP_HIS,14,3,11,0,4,10,0,29.07142857142857,254.0,73.0,4891.0,0.0046644210815429,VRAI,Finance,Finance
1005203,oracle,oracle_table,SYSADM.PS_AM_AST_IMP_AET,PS_AM_AST_IMP_AET,18,0,18,14,0,4,0,19.88888888888889,28.0,0.0,0.0,0.0,VRAI,Finance,Finance
1005204,oracle,oracle_table,SYSADM.PS_AM_ATT_AET,PS_AM_ATT_AET,7,0,7,1,0,6,0,16.0,30.0,0.0,0.0,0.0,VRAI,Finance,Finance
1005205,oracle,oracle_table,SYSADM.PS_AM_ATT_RQST,PS_AM_ATT_RQST,8,1,7,1,1,6,0,17.25,30.0,2.0,74.0,7.0571899414e-05,VRAI,Finance,Finance
1005206,oracle,oracle_table,SYSADM.PS_AM_AUD_HDR_TAO,PS_AM_AUD_HDR_TAO,15,1,14,1,3,11,1,7.0,26.0,0.0,0.0,0.0,VRAI,Finance,Finance
1005207,oracle,oracle_table,SYSADM.PS_AM_AUD_STAGE,PS_AM_AUD_STAGE,13,1,12,3,1,9,0,47.76923076923077,254.0,0.0,0.0,0.0,VRAI,Finance,Finance
1005208,oracle,oracle_table,SYSADM.PS_AM_AUTORET_AET,PS_AM_AUTORET_AET,48,3,45,8,3,37,0,8.979166666666666,30.0,0.0,0.0,0.0,VRAI,Finance,Finance
1005209,oracle,oracle_table,SYSADM.PS_AM_BASE_CC1_TMP,PS_AM_BASE_CC1_TMP,12,0,12,1,0,11,0,5.583333333333333,10.0,0.0,0.0,0.0,VRAI,Finance,Finance
1005210,oracle,oracle_table,SYSADM.PS_AM_BASE_CC_TMP,PS_AM_BASE_CC_TMP,12,0,12,1,0,11,0,5.583333333333333,10.0,0.0,0.0,0.0,VRAI,Finance,Finance
1005211,oracle,oracle_table,SYSADM.PS_AM_BI_ADDR,PS_AM_BI_ADDR,55,0,55,14,0,41,0,13.636363636363637,55.0,0.0,0.0,0.0,VRAI,Finance,Finance
1005212,oracle,oracle_table,SYSADM.PS_AM_BI_ADDR1,PS_AM_BI_ADDR1,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005213,oracle,oracle_table,SYSADM.PS_AM_BI_ADDR2,PS_AM_BI_ADDR2,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005214,oracle,oracle_table,SYSADM.PS_AM_BI_ADDR3,PS_AM_BI_ADDR3,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005215,oracle,oracle_table,SYSADM.PS_AM_BI_ADDR4,PS_AM_BI_ADDR4,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005216,oracle,oracle_table,SYSADM.PS_AM_BI_ADDR5,PS_AM_BI_ADDR5,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005217,oracle,oracle_table,SYSADM.PS_AM_BI_ADDR6,PS_AM_BI_ADDR6,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005218,oracle,oracle_table,SYSADM.PS_AM_BI_ADDR7,PS_AM_BI_ADDR7,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005219,oracle,oracle_table,SYSADM.PS_AM_BI_ADDR8,PS_AM_BI_ADDR8,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
